Date,Open,High,Low,Close,Adj Close,Volume
2015/12/23,null,null,null,null,null,null
2015/12/24,12.5,12.55,12.3,12.3,10.894324,14433000
2015/12/25,12.3,12.45,12.3,12.4,10.982895,7321000
2015/12/28,12.45,12.45,12.3,12.3,10.894324,10449000
2015/12/29,12.3,12.35,12.15,12.15,10.761467,16721000
2015/12/30,12.2,12.25,12.1,12.1,10.71718,11780000
2015/12/31,12.1,12.2,12.05,12.1,10.71718,13730000
2016/1/4,12.1,12.15,11.8,11.8,10.451466,44581000
2016/1/5,11.8,12.05,11.7,11.75,10.40718,37702000
2016/1/6,11.85,11.95,11.65,11.75,10.40718,25366000
2016/1/7,11.7,11.75,11.4,11.45,10.141464,57713000
2016/1/8,11.2,11.5,11.2,11.4,10.097178,42907000
2016/1/11,11.2,11.3,11.05,11.05,9.787178,41340000
2016/1/12,11.15,11.2,11.1,11.1,9.831464,22724000
2016/1/13,11.15,11.25,11,11.05,9.787178,35121000
2016/1/14,11,11.15,10.8,11.15,9.875749,31936000
2016/1/15,11.25,11.3,11.05,11.25,9.964321,36354000
2016/1/18,11,11.2,10.95,11.15,9.875749,23325000
2016/1/19,11.15,11.2,11.1,11.15,9.875749,12924000
2016/1/20,11.15,11.2,11.1,11.1,9.831464,27562000
2016/1/21,11.15,11.2,11.05,11.1,9.831464,17674000
2016/1/22,11.2,11.25,11.15,11.25,9.964321,14701000
2016/1/25,11.35,11.55,11.3,11.45,10.141464,22268000
2016/1/26,11.5,11.7,11.4,11.7,10.362893,43465000
2016/1/27,11.75,11.8,11.6,11.7,10.362893,22369000
2016/1/28,12.05,12.85,12.05,12.75,11.292897,204731000
2016/1/29,12.85,12.9,12.6,12.85,11.381469,89324000
